Ratings,Model,Year,Engine HP,Engine Cylinders,Driven_Wheels,Number of Doors,Market Category,Vehicle Size,highway MPG,city mpg,"Vehicle Style",Sentiment,Compound_Score
5.0,16,2015.0,240.0,4.0,2,4.0,2,2,34.0,23.0,2,2,0.975
5.0,16,2015.0,240.0,4.0,2,4.0,2,2,34.0,23.0,2,2,0.9588
5.0,16,2015.0,240.0,4.0,2,4.0,2,2,34.0,23.0,2,2,0.5756
4.0,16,2015.0,240.0,4.0,2,4.0,2,2,34.0,23.0,2,2,0.9752
4.0,16,2015.0,240.0,4.0,2,4.0,2,2,34.0,23.0,2,2,0.6908
3.0,16,2015.0,240.0,4.0,2,4.0,2,2,34.0,23.0,2,2,0.9033
3.0,16,2015.0,240.0,4.0,2,4.0,2,2,34.0,23.0,2,2,0.4404
2.0,16,2015.0,240.0,4.0,2,4.0,2,2,34.0,23.0,2,2,0.9839
5.0,16,2015.0,240.0,4.0,2,4.0,2,2,34.0,23.0,2,2,0.9991
5.0,16,2015.0,240.0,4.0,2,4.0,2,2,34.0,23.0,2,2,0.8316
5.0,16,2015.0,240.0,4.0,2,4.0,2,2,34.0,23.0,2,2,0.9847
3.0,16,2015.0,240.0,4.0,2,4.0,2,2,34.0,23.0,2,0,-0.4404
3.0,16,2015.0,240.0,4.0,2,4.0,2,2,34.0,23.0,2,0,-0.8768
4.0,16,2015.0,240.0,4.0,2,4.0,2,2,34.0,23.0,2,2,0.9778
5.0,16,2015.0,240.0,4.0,2,4.0,2,2,34.0,23.0,2,2,0.8177
4.0,16,2015.0,240.0,4.0,2,4.0,2,2,34.0,23.0,2,2,0.8086
4.375,16,2015.0,240.0,4.0,2,4.0,2,2,34.0,23.0,2,2,0.9837
4.125,16,2015.0,240.0,4.0,2,4.0,2,2,34.0,23.0,2,2,0.5826
4.0,16,2015.0,240.0,4.0,2,4.0,2,2,34.0,23.0,2,2,0.9804
4.0,16,2015.0,240.0,4.0,2,4.0,2,2,34.0,23.0,2,2,0.9879
5.0,16,2015.0,240.0,4.0,2,4.0,2,2,34.0,23.0,2,2,0.8516
4.0,16,2015.0,240.0,4.0,2,4.0,2,2,34.0,23.0,2,2,0.9975
4.0,16,2015.0,240.0,4.0,2,4.0,2,2,34.0,23.0,2,2,0.9028
4.0,16,2015.0,240.0,4.0,2,4.0,2,2,34.0,23.0,2,2,0.7906
4.0,16,2015.0,240.0,4.0,2,4.0,2,2,34.0,23.0,2,2,0.9887
5.0,16,2015.0,240.0,4.0,2,4.0,2,2,34.0,23.0,2,2,0.836
4.0,16,2015.0,240.0,4.0,2,4.0,2,2,34.0,23.0,2,2,0.9304
5.0,16,2015.0,240.0,4.0,2,4.0,2,2,34.0,23.0,2,2,0.9948
5.0,16,2015.0,240.0,4.0,2,4.0,2,2,34.0,23.0,2,2,0.9663
1.0,16,2015.0,240.0,4.0,2,4.0,2,2,34.0,23.0,2,0,-0.7551
